log,model,precision,recall,simplicity
C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_alpha.pnml,0.39663429559664765,0.19107382550335572,23
C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_alpha.pnml,0.39663429559664765,0.24621349176045626,23
C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_heuristics.pnml,0.7065436043071827,0.9058620901888595,98
C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_inductive.pnml,0.24636545992931513,1.0,91
C:\projects\python\Anda\resources\logs\Sepsis_2000.xes,C:\projects\python\Anda\resources\models\Sepsis_2000_alpha.pnml,0.44283570230422886,0.24270137184684742,22
C:\projects\python\Anda\resources\logs\Sepsis_2000.xes,C:\projects\python\Anda\resources\models\Sepsis_2000_heuristics.pnml,0.7203202291070034,0.912385954301141,111
C:\projects\python\Anda\resources\logs\Sepsis_2000.xes,C:\projects\python\Anda\resources\models\Sepsis_2000_inductive.pnml,0.2564306516372532,1.0,89
C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_alpha.pnml,0.4429921398922547,0.2683088303758883,22
C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_heuristics.pnml,0.783177570093458,0.8926883060321567,117
C:\projects\python\Anda\resources\logs\Sepsis_4000.xes,C:\projects\python\Anda\resources\models\Sepsis_4000_inductive.pnml,0.257727358728557,1.0,89
C:\projects\python\Anda\resources\logs\Sepsis_10000.xes,C:\projects\python\Anda\resources\models\Sepsis_10000_alpha.pnml,0.4427751787448142,0.26774783259983315,22
C:\projects\python\Anda\resources\logs\Sepsis_10000.xes,C:\projects\python\Anda\resources\models\Sepsis_10000_heuristics.pnml,0.7062977021346067,0.8970826277508102,107
C:\projects\python\Anda\resources\logs\Sepsis_10000.xes,C:\projects\python\Anda\resources\models\Sepsis_10000_inductive.pnml,0.2591413512025291,1.0,89
C:\projects\python\Anda\resources\logs\Sepsis_20000.xes,C:\projects\python\Anda\resources\models\Sepsis_20000_alpha.pnml,0.44248708776789303,0.26662468968827574,22
C:\projects\python\Anda\resources\logs\Sepsis_20000.xes,C:\projects\python\Anda\resources\models\Sepsis_20000_heuristics.pnml,0.7033552029118223,0.8970532044256911,107
C:\projects\python\Anda\resources\logs\Sepsis_20000.xes,C:\projects\python\Anda\resources\models\Sepsis_20000_inductive.pnml,0.2579451870525461,1.0,89
C:\projects\python\Anda\resources\logs\Sepsis_40000.xes,C:\projects\python\Anda\resources\models\Sepsis_40000_alpha.pnml,0.4424139930634411,0.2661372115855733,22
