noisy_log,clean_log,model,precision_noisy,recall_noisy,precision_clean,recall_clean,simplicity
C:\projects\python\Anda\resources\logs\Sepsis_1000_MIXED_0.2_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_MIXED_0.2_5_alpha.pnml,0.3155819434372734,0.1851566816831049,0.3155819434372734,0.18516133261943285,21
C:\projects\python\Anda\resources\logs\Sepsis_1000_MIXED_0.2_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_MIXED_0.2_5_heuristics.pnml,0.7065191670610507,0.9058688047051475,0.7065436043071827,0.9058620901888595,98
C:\projects\python\Anda\resources\logs\Sepsis_1000_MIXED_0.2_5.xes,C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_MIXED_0.2_5_inductive.pnml,0.2454473878038249,1.0,0.24522634764000284,1.0,96
C:\projects\python\Anda\resources\logs\BPIC2012_10000_ORDERING_1.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_ORDERING_1.0_2_alpha.pnml,0.2272611441780884,0.3032327928390051,0.045454545454545414,0.3032376046831265,39
C:\projects\python\Anda\resources\logs\BPIC2012_10000_ORDERING_1.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_ORDERING_1.0_2_heuristics.pnml,0.3400536263954299,0.9781939624419542,0.28986926069468766,0.9783750048099131,133
C:\projects\python\Anda\resources\logs\BPIC2012_10000_ORDERING_1.0_2.xes,C:\projects\python\Anda\resources\logs\BPIC2012_10000.xes,C:\projects\python\Anda\resources\models\BPIC2012_10000_ORDERING_1.0_2_inductive.pnml,0.11772991749470718,0.9987008372879871,0.0891559324645198,0.9987007585565082,82
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_10.0_3.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_10.0_3_alpha.pnml,0.27573893688508566,0.41689856846697027,0.0001279590531030328,0.42272662902990576,4495
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_10.0_3.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_10.0_3_heuristics.pnml,0.981959228474585,0.9382810347384063,0.0014100398063773278,0.9413443576504882,4894
C:\projects\python\Anda\resources\logs\RTFMS_100000_INSERTION_10.0_3.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_INSERTION_10.0_3_inductive.pnml,0.36112075297508683,1.0,0.00187812084070349,1.0,4658
C:\projects\python\Anda\resources\logs\Sepsis_1000_MIXED_0.1_4.xes,C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_MIXED_0.1_4_alpha.pnml,0.39669971388648617,0.2462237826346203,0.39663429559664765,0.24621349176045626,23
C:\projects\python\Anda\resources\logs\Sepsis_1000_MIXED_0.1_4.xes,C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_MIXED_0.1_4_heuristics.pnml,0.7065680473372782,0.9058587325714786,0.7065436043071827,0.9058620901888595,98
C:\projects\python\Anda\resources\logs\Sepsis_1000_MIXED_0.1_4.xes,C:\projects\python\Anda\resources\logs\Sepsis_1000.xes,C:\projects\python\Anda\resources\models\Sepsis_1000_MIXED_0.1_4_inductive.pnml,0.2462750743711103,1.0,0.24637487343102227,1.0,92
C:\projects\python\Anda\resources\logs\BPIC2012_40000_MIXED_0.2_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_MIXED_0.2_1_alpha.pnml,0.1514826529004738,0.2850005294207538,0.0,0.28498867077925977,54
C:\projects\python\Anda\resources\logs\BPIC2012_40000_MIXED_0.2_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_MIXED_0.2_1_heuristics.pnml,0.3813953966134034,0.9809270997268638,0.27212596033092507,0.9809487325043054,155
C:\projects\python\Anda\resources\logs\BPIC2012_40000_MIXED_0.2_1.xes,C:\projects\python\Anda\resources\logs\BPIC2012_40000.xes,C:\projects\python\Anda\resources\models\BPIC2012_40000_MIXED_0.2_1_inductive.pnml,0.09168859296064846,0.9999991442252414,0.0648436385510679,1.0,201
C:\projects\python\Anda\resources\logs\RTFMS_100000_ABSENCE_10.0_4.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_ABSENCE_10.0_4_alpha.pnml,0.3400261820160152,0.5969936105647444,0.16666666666666663,0.5983765379417101,27
C:\projects\python\Anda\resources\logs\RTFMS_100000_ABSENCE_10.0_4.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_ABSENCE_10.0_4_heuristics.pnml,0.9976497064156808,0.9320568774959861,0.603294596402704,0.9319367540948689,78
C:\projects\python\Anda\resources\logs\RTFMS_100000_ABSENCE_10.0_4.xes,C:\projects\python\Anda\resources\logs\RTFMS_100000.xes,C:\projects\python\Anda\resources\models\RTFMS_100000_ABSENCE_10.0_4_inductive.pnml,0.5663947829564588,1.0,0.3971306630494067,1.0,70
C:\projects\python\Anda\resources\logs\Sepsis_100000_ABSENCE_10.0_4.xes,C:\projects\python\Anda\resources\logs\Sepsis_100000.xes,C:\projects\python\Anda\resources\models\Sepsis_100000_ABSENCE_10.0_4_alpha.pnml,0.5279064549761783,0.2851664812283607,0.44380733436000763,0.2864606763482559,25
C:\projects\python\Anda\resources\logs\Sepsis_100000_ABSENCE_10.0_4.xes,C:\projects\python\Anda\resources\logs\Sepsis_100000.xes,C:\projects\python\Anda\resources\models\Sepsis_100000_ABSENCE_10.0_4_heuristics.pnml,0.8578832962793667,0.8849927458472546,0.6866315059552373,0.8854401728297527,114
